App,Category,Rating,Reviews,Size in KB,Price,Content Rating,Current Version,Number of Languages
,None,0.0,0,0,0.0,Unrated,,1
ownCloud,Productivity,3.0,249,34676,0.99,Mature 17+,3.6.0,26
,None,0.0,0,0,0.0,Unrated,,1
大盛グルメ食堂,Game,0.0,0,109486,4.99,Everyone,1.11,1
"YouTube - Watch Videos, Music, and Live Streams",Photo & Video,2.5,278166,124673,0.0,Mature 17+,12.21,34
TimeTraks,Entertainment,2.0,68,698,0.99,Everyone,1.1.0,1
"Shopular Coupons, Weekly Deals for Target, Walmart",Shopping,5.0,22729,52582,0.0,Everyone,6.80,1
Magellan,Music,4.5,313,44860,2.99,Everyone,4.0,1
,None,0.0,0,0,0.0,Unrated,,1
Real Metronome Pro,Music,4.0,95,56131,1.99,Everyone,2.5.7,23
McGraw-Hill K-12 ConnectED Mobile,Education,2.5,594,26227,0.0,Everyone,1.6.9,1
,None,0.0,0,0,0.0,Unrated,,1
The World Ends with You: Solo Remix,Game,4.5,2760,2664228,17.99,Everyone 10+,1.2.4,2
Bad Piggies HD,Game,4.5,19018,260040,0.0,Everyone,2.3.3,1
Amazon Prime Video,Entertainment,4.0,43667,69435,0.0,Teen,4.4.1,3
Camera360 Concept - HelloCamera,Photo & Video,4.5,1335,45243,0.99,Everyone,1.1.1,3
Hurricane by American Red Cross,Weather,4.0,1158,54710,0.0,Everyone,3.4,1
Finding Nemo Storybook Deluxe,Books & Reference,4.0,117,1131319,2.99,Everyone,2.0,1
,None,0.0,0,0,0.0,Unrated,,1
Weather & Radar,Weather,4.0,37,94449,0.0,Everyone,4.3.2,21
キクタン  【Basic】  4000 ～聞いて覚える英単語～(アルク),Education,0.0,0,113008,3.99,Everyone,1.1.2,1
キクタン 【Advanced】 6000 ～聞いて覚える英単語～(アルク),Education,0.0,0,114601,3.99,Everyone,1.0.55,1
キクタン 【Super】 12000 ～聞いて覚える英単語～(アルク),Education,0.0,0,113598,3.99,Everyone,1.0.55,1
PetWorld 3D: My Animal Rescue Premium,Game,4.0,1815,177914,5.99,Everyone,4.1,8
,None,0.0,0,0,0.0,Unrated,,1
"Quizlet: Study Flashcards, Languages & Vocabulary",Education,4.5,16683,95381,0.0,Everyone,2.11,13
Can Knockdown 3,Game,4.5,1135,151453,1.99,Everyone,1.30,11
Super Why! ABC Adventures,Education,3.0,242,147821,3.99,Everyone,3.3,1
Photo Editor-,Photo & Video,4.5,9095,46732,0.0,Everyone,5.0.4,31
Bingo!™,Game,4.5,56852,236914,0.0,Teen,2.4.11,1
Blendamaze,Game,4.5,1504,53692,2.99,Everyone,3.1,1
DMBX 2 - Mountain Bike and BMX,Game,4.0,42,165738,1.99,Everyone,1.1.0,2
Traffic Racer,Game,4.5,22458,132160,0.0,Everyone,2.4.1,16
"Karaoke - Sing Karaoke, Unlimited Songs!",Music,4.5,28606,95711,0.0,Everyone,4.1.5,19
,None,0.0,0,0,0.0,Unrated,,1
百度网盘,Productivity,4.5,2434,114601,0.0,Teen,7.1.1,1
,None,0.0,0,0,0.0,Unrated,,1
Bingo Pop,Game,4.0,18971,274991,0.0,Teen,3.11.25,1
Infectonator,Game,4.5,3069,25939,0.99,Everyone 10+,1.4,16
Tinder,Lifestyle,3.5,143040,126720,0.0,Mature 17+,7.5.1,42
ZARA,Shopping,4.5,2731,61317,0.0,Everyone,3.3,29
万年历-农历黄历日历天气,Utilities,0.0,0,111135,0.0,Teen,4.5.3,3
Slayin,Game,4.5,45574,22982,0.99,Teen,2.0,1
"Handwriting Without Tears: Wet-Dry-Try for Capitals, Numbers & Lowercase",Education,3.5,382,69922,4.99,Everyone,1.49,1
Stick Texting Emoji Emoticons Killer,Utilities,3.0,321,90030,1.99,Everyone 10+,1.10,1
Super Hexagon,Game,4.5,10748,33219,2.99,Everyone,2.3,1
ヨドバシ,Shopping,0.0,0,19196,0.0,Mature 17+,2.0.1,1
True Skate,Game,4.0,11065,66697,1.99,Everyone,1.4.24,1
,None,0.0,0,0,0.0,Unrated,,1
平安金管家 — 值得信赖的移动金融生活管家,Finance,2.5,5,131750,0.0,Mature 17+,4.3.1,2
,None,0.0,0,0,0.0,Unrated,,1
I see! Math1,Education,0.0,0,96665,4.99,Everyone,2.0.8,2
Cafeteria Nipponica,Game,4.5,274,186856,4.99,Everyone,2.01,4
STARZ,Entertainment,3.5,8971,110111,0.0,Mature 17+,3.3.1,1
Pac-12 Now,Sports,3.0,1221,71500,0.0,Everyone,2.13,1
Camera+ for iPad,Photo & Video,3.5,641,62664,4.99,Everyone,2,10
Word Chums,Game,5.0,11536,90521,3.99,Everyone,2.2.3,1
Dr. Panda's Restaurant,Game,4.0,370,125091,1.99,Everyone,2.5,17
LAMP Words For Life,Education,4.0,41,583263,299.99,Everyone,1.5.5,1
Jumping Horses Champions,Game,4.5,835,41161,0.99,Everyone,1.0,1
スシロー,Food & Drink,0.0,0,32113,0.0,Everyone,3.0.0,1
WWE,Entertainment,4.0,7553,88150,0.0,Teen,3.16.0,9
Starfall Learn to Read,Education,4.0,474,107464,0.0,Everyone,3.11,1
,None,0.0,0,0,0.0,Unrated,,1
,None,0.0,0,0,0.0,Unrated,,1
The Room,Game,5.0,143908,338273,0.99,Everyone 10+,1.0.4,1
Followers - Social Analytics For Instagram,Social,4.5,112778,59160,0.0,Everyone,6.8.4,11
,None,0.0,0,0,0.0,Unrated,,1
Stock Market HD: Real Time Stocks Tracker + Forex,Finance,3.5,1275,77485,2.99,Everyone,2023,1
"It's The Great Pumpkin, Charlie Brown",Books & Reference,4.0,632,141408,5.99,Everyone,1.4,1
ClassDojo,Education,4.5,35440,80195,0.0,Everyone,4.8.3,55
NASCAR MOBILE,Sports,4.0,16385,70040,0.0,Everyone,6.3.0,1
Daniel Tiger’s Neighborhood: Play at Home with Daniel,Education,3.5,930,58736,2.99,Everyone,2.0.4,1
百度地图HD,Maps & Navigation,4.5,771,107509,0.0,Everyone,4.5.1,2
Cymera - Photo & Beauty Editor & Collage,Photo & Video,3.0,523,123231,0.0,Everyone,3.3.1,13
Candy Crush Saga,Game,4.5,961794,222846,0.0,Everyone,1.101.0,24
Ugly,Entertainment,4.0,224,47773,0.0,Everyone,1.0,1
Crazy Taxi,Game,4.0,8573,277301,0.0,Everyone 10+,2.02,11
,None,0.0,0,0,0.0,Unrated,,1
Touch Camera - Fast Recording and Burst,Photo & Video,1.0,36,5071,1.99,Everyone,2.6.6,3
Jメール 出会える人気の匿名SNS出会い系アプリ,Social,3.5,11,27784,0.0,Mature 17+,3.3.1,2
,None,0.0,0,0,0.0,Unrated,,1
SMART Notebook for iPad,Education,2.5,301,97378,5.99,Everyone,3.2,6
The Tiny Bang Story,Game,3.0,143,189565,1.99,Everyone,2.1,9
滴滴出行,Travel & Local,4.0,1103,108676,0.0,Everyone,5.0.20,2
Campaign Manager - A Presidential Election Simulation Game,Game,4.0,116,7053,2.99,Everyone,2.0,1
Vector HD,Game,4.5,1291,137798,0.99,Everyone 10+,1.2.0,1
百度网盘 HD,Productivity,4.0,869,50118,0.0,Everyone,4.6.2,1
,None,0.0,0,0,0.0,Unrated,,1
Talking Angela for iPad,Entertainment,3.5,32763,76846,0.0,Everyone,2.7,13
Earn to Die,Game,4.5,6977,56385,0.99,Teen,1.0.17,1
Earn to Die HD,Game,4.5,2028,49803,2.99,Teen,1.0.17,1
Baby Rattle with Child Lock,Game,4.5,441,22364,1.99,Everyone,1.5.3,14
Clue Solver - for Clue or Cluedo board games,Game,1.5,185,77971,0.99,Everyone,1.2,1
ESPN Fantasy Football Baseball Basketball Hockey,Sports,4.0,64925,25164,0.0,Everyone,3.2.0,1
TransParent Compass,Utilities,0.0,0,35382,0.0,Everyone,4.1.1,2
去哪儿攻略—查游记旅游攻略，订机票酒店,Travel & Local,4.0,25,57138,0.0,Everyone,4.9.1,1
Draw a Stickman: EPIC,Game,4.5,413,72376,1.99,Everyone 10+,1.4.4,1
Year Walk,Game,4.5,1951,213773,3.99,Teen,1.1,1
Angry Birds Friends,Game,4.0,23655,190382,0.0,Everyone,3.4.0,1
,None,0.0,0,0,0.0,Unrated,,1
Kirkland's Spin to Win,Shopping,3.0,177,9965,0.0,Everyone,1.1.4,1
Real Racing 3,Game,4.5,164483,874184,0.0,Everyone,5.3.0,12
,None,0.0,0,0,0.0,Unrated,,1
Pacific Fleet,Game,4.0,806,92250,5.99,Teen,2.10,1
Toca Tailor,Education,4.5,4059,57734,2.99,Everyone,1.0.7,19
"Tiny Scanner+ - PDF scanner to scan document, receipt & fax",Business,5.0,5611,57836,4.99,Everyone,4.1.1,9
Draw a Stickman: EPIC HD,Game,4.5,895,113565,2.99,Everyone 10+,1.4.4,1
TNNS,Game,4.5,65,42757,1.99,Everyone,1.2,1
MetaMoJi Note - note taking and PDF annotation app,Productivity,4.0,493,103659,7.99,Everyone,3.9.3,13
HelloTalk Language Exchange Learning App,Education,4.0,1619,167054,0.0,Everyone,2.3.4,20
Angry Birds Star Wars,Game,4.5,34138,177338,0.0,Everyone,1.5.11,1
Angry Birds Star Wars HD,Game,4.5,22674,212249,0.0,Everyone,1.5.11,1
Shpock Boot Sale & Classifieds App. Buy & Sell,Shopping,4.0,212,82904,0.0,Teen,3.12.2,6
Total - Free browser with file manager and cloud storage support,Entertainment,4.5,4231,75883,0.0,Mature 17+,2.6.4,7
"Network Analyzer - wifi scanner, speed test, tools",Utilities,4.5,2840,12513,3.99,Everyone,7.2,1
"Inkly: Greeting Cards, Postcards, Flowers & Gifts",Shopping,4.5,1034,139865,0.0,Everyone 10+,7.5.1,21
Dashy Crashy,Game,4.5,3979,166305,0.0,Everyone,2.0.1,12
CUBE SNAP,Game,4.5,1133,85362,0.99,Everyone,3.14,1
File Manager Pro App,Business,4.5,2154,14442,4.99,Mature 17+,2.5,2
Modern Combat 4: Zero Hour,Game,4.0,12916,2169602,6.99,Mature 17+,1.2.1,13
InsTrack for Instagram - Analytics Plus More,Social,4.5,85535,14225,0.0,Everyone,2.3.4,31
Weblock - AdBlock for apps and websites,Utilities,3.5,1880,37883,1.99,Everyone,4.4.1,7
,None,0.0,0,0,0.0,Unrated,,1
"Ibotta: Cash Back App, Grocery Coupons & Shopping",Shopping,4.5,44313,192774,0.0,Teen,5.0.3,1
Lumps of Clay,Game,0.0,0,90752,0.99,Everyone,3.0,1
直播吧(官方版)-体育从这里开始,Sports,5.0,13,63309,0.0,Teen,4.5.4,1
Mini Golf Stars! Retro Golf Game,Game,4.5,9411,224983,0.0,Mature 17+,5.72,9
,None,0.0,0,0,0.0,Unrated,,1
"Concepts - Sketch, Design, Illustrate",Productivity,4.5,3101,130532,0.0,Everyone,4.5.1,12
Lili™,Game,4.0,2701,797827,0.99,Teen,1.3,1
Capture - Control Your GoPro Camera - Share Video,Photo & Video,3.0,6542,94800,0.0,Teen,3.3.2,10
Clumsy Ninja,Game,4.5,123032,255400,0.0,Everyone,1.29.0,5
Agricola,Game,4.0,1107,349272,6.99,Teen,1.2.3,7
T-Mobile,Productivity,4.0,19977,65560,0.0,Everyone,2.9.5,1
Peatix -Discover events & communities in your city,Entertainment,3.0,10,84125,0.0,Everyone,2.10.0,2
,None,0.0,0,0,0.0,Unrated,,1
Dragon City Mobile,Game,4.5,277268,123612,0.0,Everyone,4.11,12
高德地图HD,Maps & Navigation,3.5,26,36229,0.0,Everyone,2.0.0,1
ライブチャット、ビデオチャット通話が楽しめる！ ライブでゴーゴー,Social,0.0,0,32168,0.0,Mature 17+,4.9,16
Devil's Attorney,Game,4.5,1474,321376,2.99,Teen,1.0.4,1
Vector for iPhone,Game,4.5,4432,137792,0.99,Everyone 10+,1.2.0,1
NFL HUDDLE: Football Card Trader,Sports,4.0,2896,228352,0.0,Teen,6.5.14,1
GeniusMovieWords,Education,0.0,0,47728,9.99,Everyone,2.1.0,1
UBiO,Music,4.5,8,26939,4.99,Everyone,3.0.3,2
,None,0.0,0,0,0.0,Unrated,,1
Minecraft: Skin Studio,Game,4.0,4006,46211,3.99,Everyone,4.8.0,11
Bloons TD 5,Game,4.5,42078,113020,2.99,Everyone 10+,3.8.3,15
minne - shopping handmade item,Shopping,5.0,8,80129,0.0,Everyone,7.11.0,2
,None,0.0,0,0,0.0,Unrated,,1
MarineTraffic - Ship Tracking,Travel & Local,4.5,1782,45089,4.99,Everyone,3.6.2,1
,None,0.0,0,0,0.0,Unrated,,1
Stone Age: The Board Game,Game,4.5,850,137375,6.99,Everyone,2.1,2
,None,0.0,0,0,0.0,Unrated,,1
Hill Climb Racing,Game,4.5,108183,108322,0.0,Everyone 10+,1.33.0,1
51信用卡管家,Finance,4.0,47,68952,0.0,Everyone,9.4.1,2
51信用卡管家Pro,Finance,3.5,23,68952,0.99,Everyone,9.4.1,2
铁路12306,Travel & Local,2.0,177,28961,0.0,Everyone,2.80,1
Urlaubspiraten,Travel & Local,5.0,188,22560,0.0,Everyone,2.0.19,1
Backflip Madness,Game,4.5,11687,17436,0.99,Everyone 10+,1.1.3,1
,None,0.0,0,0,0.0,Unrated,,1
Fit Brains Trainer,Education,4.5,46363,188902,0.0,Everyone,5.1.10,9
Ticket Scanner for Powerball & MegaMillions Pool,News & Magazines,3.5,581,84973,0.0,Teen,5.7.6,1
百度HD-极速安全浏览器,Utilities,4.0,1033,167631,0.0,Mature 17+,5.4.0,2
Good homes style-pro,Lifestyle,0.0,0,6373,0.99,Everyone,1.11,3
Monkey Word School Adventure,Education,4.0,191,296433,1.99,Everyone,1.12,1
Bloons TD 5 HD,Game,4.5,28341,217499,2.99,Everyone 10+,3.8.3,15
Followers + for Instagram - Follower Analytics,Social,4.0,28633,17986,0.0,Teen,2.1.1,29
Colin McRae Rally,Game,3.5,504,822431,2.99,Everyone,1.11.4,1
,None,0.0,0,0,0.0,Unrated,,1
Mutant Fridge Mayhem - Gumball,Game,4.5,3090,93663,2.99,Everyone 10+,4.1.1,1
,None,0.0,0,0,0.0,Unrated,,1
KATWARN,News & Magazines,0.0,0,5424,0.0,Everyone,2.1.1,2
iUniform ASU - Builds Your Army Service Uniform,Utilities,3.5,132,37122,3.99,Everyone,1.13,2
We Maps,Travel & Local,4.5,35,38597,6.99,Everyone,8.4.2,15
Rainy Mood - Rain Sounds for Sleep & Study,Health & Fitness,4.5,333,91877,2.99,Everyone,2.2,1
,None,0.0,0,0,0.0,Unrated,,1
淘票票 - 原淘宝电影，选座购票必备,Entertainment,3.5,29,98619,0.0,Teen,6.8.2,2
e-Sword HD: Bible Study Made Easy,Books & Reference,5.0,7309,20587,4.99,Everyone,6.0,3
Vampify - Turn yourself into a Vampire,Entertainment,4.5,278,102176,0.99,Everyone 10+,2.1.9,13
French Tarot,Game,4.5,33,41298,4.99,Everyone,3.4.0,2
Bubble Guppies: Animal School Day HD,Education,3.5,1207,826970,4.99,Everyone,1.4,1
Bubble Guppies: Animal School Day,Education,4.0,130,829255,2.99,Everyone,1.2,1
Mickey Mouse Clubhouse: Mickey's Wildlife Count Along,Entertainment,3.5,743,971752,2.99,Everyone,1.6.82,3
MY EE,Utilities,2.5,43,23851,0.0,Everyone,4.4.0,1
Sonic Jump™,Game,4.5,8661,104692,2.99,Everyone,2.0.2,10
Yoga Studio,Health & Fitness,5.0,28439,162386,4.99,Everyone,3.4,1
"sugar, sugar",Game,4.5,139,25718,0.99,Everyone,2.0,16
Watch NFL Network,Sports,2.0,1110,73063,0.0,Everyone,2.3,25
,None,0.0,0,0,0.0,Unrated,,1
SySight,Utilities,0.0,0,1209,0.99,Everyone,4.3.5,2
Frax - The First Realtime Immersive Fractals,Entertainment,4.5,245,99244,0.99,Everyone,1.4.2,8
ReindeerCam,Entertainment,4.5,3379,47512,1.99,Everyone,2.0,1
Timehop,Social,3.5,49510,67424,0.0,Everyone,4.0.12,1
Pudding Monsters,Game,4.5,10703,35096,0.99,Everyone,1.3.0,11
Toca Hair Salon 2,Education,4.5,23349,99796,2.99,Everyone,1.1.5,18
,None,0.0,0,0,0.0,Unrated,,1
"Duolingo - Learn Spanish, French and more",Education,4.5,162701,89782,0.0,Everyone,5.1.0,24
Printicular Print Photos - 1 Hour Pickup,Photo & Video,5.0,3909,54000,0.0,Everyone,2.22.0,22
楽天カード,Finance,5.0,11,81673,0.0,Mature 17+,5.15.3,1
"Runtastic Push Ups PRO: Workouts, Trainer, Counter",Health & Fitness,5.0,3434,45799,1.99,Everyone,2.4.1,15
"Runtastic Squats PRO – Workouts, Trainer & Counter",Health & Fitness,5.0,1186,45754,1.99,Everyone,2.4.1,15
LEGO Batman: DC Super Heroes,Game,4.0,7717,1139261,4.99,Everyone 10+,1.7,1
Repost for Instagram,Social,4.5,15185,46076,0.0,Teen,3.2.5,1
Daily Celebrity Crossword,Game,4.0,181384,94110,0.0,Everyone,4.12.23,1
腾讯体育-NBA全网独播,Sports,3.5,29,89204,0.0,Mature 17+,5.0.4,1
Global Shark Tracker,Education,3.0,336,36946,0.0,Everyone,1.7,1
FOX NOW - Watch Full Episodes and Stream Live TV,Entertainment,4.5,39391,56974,0.0,Everyone,2.16.6,1
Mutant Mudds,Game,4.0,819,37110,4.99,Everyone 10+,1.0.7,1
"All-in Fitness: 1200 Exercises, Workouts, Calorie Counter, BMI calculator by Sport.com",Health & Fitness,4.5,965,96468,2.99,Teen,1.9.1,6
,None,0.0,0,0,0.0,Unrated,,1
,None,0.0,0,0,0.0,Unrated,,1
Gangstar Vegas,Game,4.5,46705,2088777,0.0,Mature 17+,3.1.0,13
Slender Rising,Game,4.5,5214,228978,2.99,Teen,1.7,1
365Scores,Sports,4.5,9879,129219,0.0,Everyone,4.4.9,32
Temple Run 2,Game,4.5,295211,158025,0.0,Everyone 10+,1.37,1
Partia,Game,4.5,209,38211,3.99,Everyone 10+,1.0.3,1
,None,0.0,0,0,0.0,Unrated,,1
Beat the Boss 2,Game,4.5,117338,205271,0.0,Teen,2.8.0,15
Afterlight,Photo & Video,4.5,14057,76231,0.99,Everyone,3.2,1
キクタンTOEIC(R) Test Score 600 ～聞いて覚える英単語～(アルク),Education,0.0,0,120057,3.99,Everyone,1.0.55,1
Warhammer Quest,Game,4.5,4965,936792,2.99,Teen,1.29,5
Vendée Globe 2016,Sports,2.0,42,253679,0.0,Everyone,2.1.9,2
Joe Danger,Game,4.5,3748,171192,1.99,Everyone 10+,1.2,8
百度视频HD-高清电视剧、电影在线观看神器,Entertainment,4.0,1987,105649,0.0,Mature 17+,6.0.0,1
Fitness Point Pro,Health & Fitness,4.5,1685,68373,4.99,Everyone 10+,6.6.2,18
,None,0.0,0,0,0.0,Unrated,,1
Beat the Boss 2 (17+),Game,4.5,17203,205250,0.99,Mature 17+,2.8.0,15
iGun Pro HD - The Original Gun Application,Game,4.5,22324,69952,0.0,Teen,5.24,6
,None,0.0,0,0,0.0,Unrated,,1
Sky Gamblers: Storm Raiders,Game,4.5,18822,1820131,4.99,Teen,1.5.2,10
METAL SLUG 1,Game,4.0,540,59441,2.99,Everyone 10+,1.1.1,2
Asva The Monkey HD,Game,4.5,80,44660,0.99,Everyone,1.1.2,1
FINAL FANTASY IV,Game,4.5,4558,537749,14.99,Everyone 10+,1.4.4,12
LINE PLAY - Your Avatar World,Social,4.5,34677,108691,0.0,Everyone,4.9.6,6
Pou,Game,4.5,3783,40968,0.0,Everyone,1.4.69,20
Christmas Stories: Nutcracker Collector's Edition HD (Full),Game,4.5,259,611252,6.99,Everyone,1.0.0,1
aerofly FS - Flight Simulator,Game,4.5,1033,2251403,3.99,Everyone,1.2.1,1
Infect Them All 2 : Zombies,Game,5.0,2630,42951,0.99,Teen,1.3,2
Injustice: Gods Among Us,Game,4.5,612532,1829599,0.0,Teen,2.15.1,13
,None,0.0,0,0,0.0,Unrated,,1
我想有个家,Game,4.5,115,123449,0.0,Everyone,1.2.2,1
Dr. Panda Daycare,Education,4.0,401,79133,2.99,Everyone,2.4,15
InstaLogo Logo Creator - Graphic design maker,Business,4.5,6263,123656,2.99,Everyone,3.1,28
Ingress,Game,3.5,2739,126825,0.0,Everyone 10+,1.119.0,16
Sky Guide: View Stars Night or Day,Books & Reference,5.0,22100,175430,2.99,Everyone,6.2.2,11
"InstaSize: Photo Editor, Picture Effects & Collage",Photo & Video,4.0,15605,99624,0.0,Everyone,4.3.41,23
SpongeBob Moves In,Game,4.0,18758,634097,2.99,Everyone,4.37.7,9
Minigore 2: Zombies,Game,4.5,3164,138681,1.99,Mature 17+,2.0,1
Incredipede,Game,3.0,108,77213,3.99,Everyone,1.76,1
,None,0.0,0,0,0.0,Unrated,,1
Lumosity - Brain Training,Education,4.5,96534,214962,0.0,Everyone,9.8,6
Checkout 51: Grocery Coupons & Cash Back Savings,Shopping,4.0,4878,18385,0.0,Everyone,5.6,3
,None,0.0,0,0,0.0,Unrated,,1
"Retrica - Selfie Camera with Filter, Sticker & GIF",Photo & Video,4.5,11021,112688,0.0,Everyone,4.1.1,16
TapeACall Pro - Call Recorder For Phone Calls,Business,4.0,2951,49825,9.99,Everyone,3.4.7,32
Yahoo Mail - Keeps You Organized!,Productivity,4.0,113709,177899,0.0,Everyone,4.16.1,45
TeamSpeak 3,Social,2.5,697,27543,4.99,Mature 17+,3.1.23,4
,None,0.0,0,0,0.0,Unrated,,1
,None,0.0,0,0,0.0,Unrated,,1
车轮查违章-2017全国车辆违章查询助手,Travel & Local,4.5,129,69116,0.0,Everyone,6.3.2,2
Bridge Constructor Playground,Game,4.5,1628,82499,1.99,Everyone,2.0,13
,None,0.0,0,0,0.0,Unrated,,1
Grand Theft Auto: Vice City,Game,4.0,20113,1161168,4.99,Mature 17+,1.6,8
Fish Out Of Water!,Game,4.5,11000,72671,0.99,Everyone,1.2.8,13
Threema,Social,4.5,196,24925,2.99,Everyone,2.10.0,9
,None,0.0,0,0,0.0,Unrated,,1
MyScript Calculator - Handwriting calculator,Productivity,4.5,16555,21319,0.0,Everyone,1.3.2,11
,None,0.0,0,0,0.0,Unrated,,1
Wells Fargo for iPad,Finance,2.5,2207,67862,0.0,Everyone,2.95,2
SmartNews - Trending News & Stories,News & Magazines,4.0,4645,26681,0.0,Mature 17+,4.1.10,2
"Alarm Clock Sleep Sounds Pro: Guided Meditation for Relaxation Cycle, Hypnosis and insomnia",Health & Fitness,4.5,235,89534,6.99,Everyone,2.1,6
Followers + EA - Analytics for Instagram,Social,2.5,482,19306,0.99,Teen,3.0.2,29
通信量チェッカー,Utilities,0.0,0,12864,0.0,Everyone,4.0.5,2
Blitz Brigade: Multiplayer FPS shooter online!,Game,4.5,41266,1024388,0.0,Mature 17+,2.9.1,11
,None,0.0,0,0,0.0,Unrated,,1
一起捕鱼 - 欢乐街机电玩城,Game,0.0,0,110405,0.0,Teen,3.9.0,1
Megapolis,Game,4.5,28902,136165,0.0,Everyone,3.70.20429,10
The Silent Age,Game,4.5,16852,1522363,0.0,Teen,2.16,1
VoiceTra(Voice Translator),Travel & Local,0.0,0,14505,0.0,Everyone,5.5,4
Lep's World 3 Plus - the super best platformer games,Game,4.5,4678,70962,0.99,Everyone,1.8.4,19
Elmo Loves 123s,Game,3.5,95,520400,4.99,Everyone,1.3.0,1
地元の掲示板「ジモティー」地元でカンタン！フリマよりもお得！,Shopping,0.0,0,108883,0.0,Everyone,3.0.0,1
,None,0.0,0,0,0.0,Unrated,,1
,None,0.0,0,0,0.0,Unrated,,1
,None,0.0,0,0,0.0,Unrated,,1
Athletics: Summer Sports (Full Version),Game,4.5,365,85116,0.99,Everyone,1.6,1
WWF Together,Education,4.5,1385,1272736,0.0,Everyone,2.1.5,5
,None,0.0,0,0,0.0,Unrated,,1
Radio - USA,Entertainment,4.0,109,56379,0.0,Everyone,5.2.4,15
Cliff Diving Champ,Game,4.5,61,51728,0.99,Everyone,1.11,1
"ElfYourself by Office Depot, Inc.",Entertainment,4.0,12177,109844,0.0,Everyone,5.2.0,4
今日头条(专业版) - 推荐热点新闻资讯、娱乐视频,News & Magazines,4.5,128,108479,0.99,Mature 17+,6.1.4,2
TimeStamp Photo with GPS Address Location,Photo & Video,2.5,93,671,1.99,Everyone,6.6,1
Sonic Dash,Game,4.5,418033,186687,0.0,Everyone,3.7.1,7
"Instant Fitness : 600+ exercises, 100+ workouts, home, exercise workout trainer, 7 minute workout, on-the-go personal mobile fitness trainer by Fitness Buddy and Instant Heart Rate",Health & Fitness,4.5,571,80175,9.99,Everyone,2.0,1
"SeatGeek – Tickets to Sports, Concerts & Broadway",Entertainment,4.5,6088,68196,0.0,Everyone,4.6.0,1
Rocket Video for Google Cast and Chromecast to TV,Productivity,5.0,4806,48523,1.99,Mature 17+,3.2,5
途家-全球公寓民宿预订平台,Travel & Local,4.5,17,76228,0.0,Teen,5.32,1
AVP: Evolution,Game,4.5,4996,875347,2.99,Teen,3.0,8
Deer Hunter Classic,Game,4.5,179111,185881,0.0,Mature 17+,3.4.0,12
零基础学音标,Education,4.5,12,319086,0.99,Everyone,2.0.2,2
Naughty or Nice Scan Free,Entertainment,3.5,729,18944,0.0,Everyone,1.6,2
Garmin Connect™ Mobile,Health & Fitness,3.0,8341,285233,0.0,Everyone,3.18,29
BookScanner App,Books & Reference,4.0,160,13821,1.99,Everyone,2.9,22
中国移动手机营业厅(中国移动官方),Utilities,2.5,82,62429,0.0,Everyone,3.8,1
,None,0.0,0,0,0.0,Unrated,,1
Cubasis 2 - Mobile Music Creation System,Music,4.0,297,1032812,49.99,Everyone,2.1,1
买火车票Pro,Productivity,5.0,14,4255,4.99,Everyone,4.3.5,1
ZEDGE™ Ringtones,Entertainment,3.5,9010,52864,0.0,Teen,3.4.2,12
Napster - Top Music & Radio,Music,4.0,14268,184817,0.0,Teen,5.7.5,11
Warbits,Game,4.5,1051,185147,4.99,Everyone 10+,1.2,1
Google Maps - Navigation & Transit,Maps & Navigation,4.5,154911,120232,0.0,Teen,4.31.1,34
Super Stickman Golf 2,Game,4.5,46859,96925,0.0,Everyone,2.8,1
PicTapGo,Photo & Video,4.5,1175,32724,1.99,Everyone,3.5.2,6
肌年齢診断,Entertainment,0.0,0,2134,0.0,Everyone,1.0,2
Dr. Panda Veggie Garden,Education,4.0,124,159403,2.99,Everyone,1.5,15
QRコードリーダー for iPhone,Productivity,0.0,0,4803,0.0,Everyone,3.1,2
Ski Jumping Pro,Game,4.0,308,233041,0.99,Everyone,1.3.0,22
,None,0.0,0,0,0.0,Unrated,,1
Wild Kratts Creature Power,Game,3.5,155,100749,1.99,Everyone,2.46,1
iMaps+ for Google Maps ™ and Street View ™ : Transit and Offline Contacts,Maps & Navigation,4.0,1225,18010,2.99,Everyone,4.1.1,1
Alphabet Aquarium School Adventure Vol 1: Teachme Letters - Animated Puzzle Games for Preschool and Kindergarten Explorers by 22learn,Game,4.0,150,56923,1.99,Everyone,1.2,1
Amaziograph,Entertainment,4.0,181,21285,0.99,Everyone,3.0.3,1
Monash University Low FODMAP Diet,Medical,3.5,159,48359,7.99,Teen,2.0.4,2
火车票Pro for 12306,Travel & Local,5.0,76,22281,0.99,Everyone,7.3.3,2
Santa Tracker Christmas Free,Entertainment,3.5,134,49776,0.0,Everyone,2.4,6
Block Fortress,Game,4.5,15430,343504,1.99,Teen,1.6.3,1
ABCmouse.com - Early Learning Academy,Education,4.5,18749,266735,0.0,Everyone,5.5,1
Golf Live Extra,Sports,3.0,840,11104,0.0,Everyone,3.31,1
Microsoft Word,Productivity,4.5,47999,334425,0.0,Everyone,2.1,33
Microsoft PowerPoint,Productivity,4.0,10939,336831,0.0,Everyone,2.1,33
,None,0.0,0,0,0.0,Unrated,,1
Coin Party: Carnival Pusher,Game,4.5,2057,221737,0.0,Teen,2.6.7,1
Microsoft Excel,Productivity,4.5,24430,323411,0.0,Everyone,2.1,33
ウィズダム英和・和英辞典 2,Books & Reference,5.0,5,265569,23.99,Everyone,2.5.1,2
